FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
PHED 3316 1,Care and Prevention of Athletic Injuries,Tomas Green,10:00 AM,11:30 AM,"Tues, Thur",826,IP - In Person
PHED 3317 1,"Health, Emergency Care and First Aid",Tomas Green,11:30 AM,1:00 PM,"Mon, Wed",826,IP - In Person
PHED 3319 1,Strategies & Principles of Coaching,Tomas Green,8:30 AM,10:00 AM,"Tues, Thur",826,IP - In Person
PHIL 1312 1,Professional Ethics,Stacey Burleson,,,,,OF - Online Flexible
PHIL 1313 1,Introduction to Philosophy,Stacey Burleson,,,,,OF - Online Flexible
PSYC 2311 1,General Psychology,Deborah McGinty,1:00 PM,2:30 PM,Mon,824,H - Hybrid
SOCI 2311 1,Introduction to Sociology,Muhammad Cetin,10:00 AM,11:30 AM,Wed,720,H - Hybrid
SPAN 1311 1,Elementary Spanish,Orlando Bruzual,,,,,OF - Online Flexible
,,,,,,,
,Course Meeting Types,,,,,,
,H - Hybrid:,Attend class in-person and via webinar on an alternating basis.,,,,,
,I - Internship:,Attend supervised experience in the field at an approved site.,,,,,
,IP - In Person,Attend class in-person during scheduled class time.,,,,,
,OF - Online Flexible:,Attend class via live webinar scheduled by instructor or view recorded webinar and submit summary of webinar by due date set by instructor.,,,,,
,OS - Online Synchronous:,Attend class via live webinar during scheduled class time.,,,,,
